nombre,tipo_evento,mes_celebracion,dia_inicio,dia_fin,descripcion,recomendaciones_viaje,municipio_pcode
Feria Patronal de Guastatoya,Feria Patronal,1,11,15,"Feria departamental en honor a la Virgen de Esquipulas con desfiles hípicos, jaripeos y conciertos al aire libre.",Llevar ropa ligera por el clima cálido de la región y protector solar.,GT0201
Feria Patronal de Flores (San Jerónimo),Feria Patronal,1,12,15,"Celebración que combina la devoción religiosa con el Baile de la Chatona y el Caballito, íconos folklóricos de Petén.",Disfrutar de las procesiones lacustres en lancha alrededor de la Isla de Flores.,GT1701
Feria Patronal de Mixco (Santo Domingo),Feria Patronal,8,1,4,"Celebración patronal con tradicionales convites (bailes de disfraces), procesión de Santo Domingo de Guzmán y venta de deliciosos chocolates mixqueños.",No dejar de probar los tradicionales chocolates artesanales en el mercado central.,GT0108
Feria Patronal de Villa Nueva (Inmaculada Concepción),Feria Patronal,12,6,8,"Feria titular famosa por su Convite Navideño el 8 de diciembre, uno de los más antiguos y concurridos del país.",Llegar temprano para encontrar buen lugar a lo largo del recorrido del convite.,GT0115
Feria de la Cruz de Amatitlán,Feria Patronal,5,1,5,"Celebración tradicional que incluye la procesión del Niño de Atocha navegando sobre el Lago de Amatitlán, además de ferias gastronómicas.",Ver la colorida procesión lacustre desde el teleférico o contratando una lancha autorizada.,GT0114
Feria Patronal de San Juan Sacatepéquez,Feria Patronal,6,22,24,"Festividad en honor a San Juan Bautista, destacando los trajes ceremoniales amarillos y las procesiones acompañadas de música de chirimía y tambor.","Aprovechar para visitar los viveros de flores locales, ya que es la tierra de las flores.",GT0110
Feria Titular de Quetzaltenango (Fiestas Patrias),Feria Patronal,9,10,17,"Las Fiestas de Independencia de Xela son de las más importantes de la región occidental, con desfiles cívicos, conciertos y ferias artesanales.",Llevar suéter abrigado ya que las noches de septiembre suelen ser frías y lluviosas en Xela.,GT0901
Feria Patronal de Jutiapa (San Cristóbal),Feria Patronal,7,28,30,"Feria patronal con fuerte tradición ganadera, desfiles hípicos, jaripeos y degustación de quesadilla jutiapaneca.",Probar la auténtica quesadilla de arroz jutiapaneca en los puestos tradicionales de la feria.,GT2201
Feria Patronal de Salamá (San Mateo),Feria Patronal,9,17,21,"Feria departamental que incluye eventos religiosos, deportivos, desfiles escolares y exhibición de artesanías locales.",Visitar el histórico Templo del Calvario durante las actividades de la feria.,GT1501
Feria Patronal de Escuintla (Virgen de Concepción),Feria Patronal,12,6,9,"Celebración patronal en el clima tropical del sur de Guatemala, con convites tradicionales y quema de toritos de fuego.",Mantenerse hidratado y vestir ropa fresca para el calor constante de Escuintla.,GT0501
Feria Patronal de Jalapa (Virgen de Concepción),Feria Patronal,12,7,10,"Feria que celebra a la Inmaculada Concepción con desfiles alegóricos, eventos culturales y deportivos.",Degustar los dulces tradicionales de leche elaborados en la región.,GT2101
Feria Patronal de Zacapa (Virgen de Concepción),Feria Patronal,12,4,9,"Feria titular del oriente con jaripeos diarios, desfiles hípicos y bailes sociales populares.",Visitar la feria de noche cuando el clima es más fresco.,GT1901
Carnaval de Mazatenango,Festival Artístico,2,20,28,"Tradicional festival de carnaval en la costa sur, con multitudinarios desfiles de comparsas llenas de colorido, música y bailes.",Reservar hotel y transporte con mucha anticipación debido al gran flujo de turistas de todo el país.,GT1001
Feria Patronal de Retalhuleu (Virgen de Concepción),Feria Patronal,12,6,8,"Celebración patronal con eventos folklóricos, juegos mecánicos y coronación de reinas departamentales.",Ideal combinar el viaje con una visita a los parques temáticos del IRTRA localizados cerca.,GT1101
Feria Patronal de San Marcos (San Marcos Evangelista),Feria Patronal,4,22,25,"Feria departamental con desfiles escolares, exposiciones agrícolas e industriales del altiplano occidental.",Llevar ropa abrigada ya que el municipio cuenta con un clima de montaña templado a frío.,GT1201
Fiestas Julias de Huehuetenango,Feria Patronal,7,10,16,"Celebración patronal en honor a la Virgen del Carmen con ferias comerciales, actividades culturales y desfiles de carrozas.",Disfrutar de las exposiciones de café y artesanías locales de Huehuetenango.,GT1301
Feria Patronal de Totonicapán (San Miguel Arcángel),Feria Patronal,9,24,29,"Celebración con intensas danzas tradicionales (como la Danza de los Monos y Venados), procesiones solemnes y quema de pólvora.","Llegar bien abrigado y con paraguas, ya que septiembre es época de lluvias en el altiplano.",GT0801
Feria Patronal de Chiquimula (Virgen del Tránsito),Feria Patronal,8,11,15,"Feria titular en honor a la Virgen del Tránsito, con desfiles, conciertos y platillos tradicionales de oriente.",Probar los chuchitos orientales y las comidas tradicionales en los locales del campo de la feria.,GT2001
Feria Patronal de Puerto Barrios,Feria Patronal,5,15,20,"Celebración costera dedicada al Sagrado Corazón de Jesús con desfiles náuticos, conciertos playeros y gastronomía del Caribe.",Probar el tapado y rice and beans tradicional en los puestos de comida costeña.,GT1801
Feria de Coatepeque (Virgen de Concepción),Feria Patronal,3,11,15,"Una de las ferias comerciales más grandes de la costa sur, conocida como la Feria de Verano, con desfiles y exposiciones.",Utilizar calzado cómodo y ropa fresca debido a las altas temperaturas de la costa.,GT0920
Feria Patronal de Santiago Atitlán,Feria Patronal,7,23,25,"Feria que destaca por el sincretismo religioso entre Santiago Apóstol y la figura de Maximón, atrayendo a miles de visitantes.",Visitar el cofradía de Maximón con respeto a las prácticas ceremoniales locales.,GT0719
Feria Patronal de Santa Cruz del Quiché (Santa Elena),Feria Patronal,8,14,19,"Feria titular dedicada a Santa Elena de la Cruz, con danzas folklóricas y ceremonias tradicionales en los alrededores.",Aprovechar para visitar las ruinas arqueológicas de Q'umarkaj ubicadas a pocos minutos.,GT1401
Feria Patronal de San Pedro Carchá,Feria Patronal,6,24,29,"Feria en honor a San Pedro Apóstol con el tradicional ritual del Paabanc, música de arpa y marimba tradicional de Alta Verapaz.",Excelente oportunidad para presenciar el ceremonial maya Q'eqchi' del Paabanc en su entorno original.,GT1609
Feria de San Pedro Sacatepéquez (San Marcos),Feria Patronal,6,24,29,"Festividad en honor a San Pedro Apóstol con desfiles de carrozas, eventos deportivos y degustación de shecas marquenses.",Degustar las tradicionales shecas marquenses acompañadas de chocolate caliente local.,GT1202
Feria Patronal de San Cristóbal Totonicapán,Feria Patronal,7,22,25,"Feria titular dedicada a Santiago Apóstol, famosa por sus danzas de moros e imponente decoración del templo parroquial.","Visitar el templo católico del siglo XVII, reconocido por sus retablos barrocos.",GT0802
Feria Patronal de Momostenango,Feria Patronal,7,21,25,Feria que coincide con ceremonias tradicionales mayas del calendario de los 260 días (Choj'aj) realizadas en los cerros sagrados de Momostenango.,Visitar los riscos de Momostenango y observar las ceremonias tradicionales mayas respetuosamente.,GT0805
Feria Patronal de Rabinal,Feria Patronal,1,20,25,"Festividad histórica famosa por la representación del Rabinal Achí, obra de teatro dinástica prehispánica declarada Patrimonio de la Humanidad.",Asegurarse de presenciar la representación del Rabinal Achí y adquirir artesanías de morro tradicionales.,GT1503
Feria Patronal de Lívingston,Feria Patronal,10,5,8,Feria en honor a la Virgen del Rosario que destaca por la participación de la comunidad garífuna con música de tambores y bailes ancestrales.,Disfrutar del baile tradicional Yurumein y la música tradicional Punta en la playa.,GT1802
Feria Patronal de Chiquimulilla,Feria Patronal,12,24,26,"Feria en honor al Niño Dios con actividades de jaripeos, danzas tradicionales y la degustación de platillos tradicionales de la región xinka.",Aprovechar para conocer las tradiciones de la comunidad indígena xinka en el sur del país.,GT0608
Feria Patronal de Patzún,Feria Patronal,5,18,20,"Celebración en honor a San Bernardino de Siena con el baile de los gigantes, música folklórica kaqchikel y tapetes ceremoniales.","Observar el despliegue del traje típico local, uno de los más coloridos de Chimaltenango.",GT0407
Feria Patronal de Tecpán Guatemala,Feria Patronal,10,1,4,"Feria titular en la primera capital de Guatemala, famosa por su gastronomía local (caldos, embutidos) y desfiles de convites.",Degustar el tradicional caldo de gallina en los restaurantes típicos de Tecpán.,GT0406
Feria Titular de Lago De Amatitlan,Feria Patronal,6,18,21,"Feria titular y celebración anual del municipio de Lago De Amatitlan, departamento de Guatemala. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0100
Feria Patronal de Santa Catarina Pinula (En honor a Santa Catarina de Alejandría),Feria Patronal,11,22,25,"Feria patronal del municipio de Santa Catarina Pinula, celebrada en honor a su santo patrono Santa Catarina de Alejandría. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Guatemala.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0102
Feria Patronal de San José Pinula (En honor a San José Patriarca),Feria Patronal,3,16,19,"Feria patronal del municipio de San José Pinula, celebrada en honor a su santo patrono San José Patriarca. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Guatemala.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0103
Feria Patronal de San José del Golfo (En honor a San José Patriarca),Feria Patronal,3,16,19,"Feria patronal del municipio de San José del Golfo, celebrada en honor a su santo patrono San José Patriarca. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Guatemala.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0104
Feria Titular de Palencia,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Palencia, departamento de Guatemala. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0105
Feria Titular de Chinautla,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de Chinautla, departamento de Guatemala. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0106
Feria Patronal de San Pedro Ayampuc (En honor a San Pedro Apóstol),Feria Patronal,6,26,29,"Feria patronal del municipio de San Pedro Ayampuc, celebrada en honor a su santo patrono San Pedro Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Guatemala.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0107
Feria Patronal de San Pedro Sacatepéquez (En honor a San Pedro Apóstol),Feria Patronal,6,26,29,"Feria patronal del municipio de San Pedro Sacatepéquez, celebrada en honor a su santo patrono San Pedro Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Guatemala.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0109
Feria Titular de San Raimundo,Feria Patronal,1,13,16,"Feria titular y celebración anual del municipio de San Raimundo, departamento de Guatemala. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0111
Feria Titular de Chuarrancho,Feria Patronal,12,12,15,"Feria titular y celebración anual del municipio de Chuarrancho, departamento de Guatemala. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0112
Feria Titular de Fraijanes,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de Fraijanes, departamento de Guatemala. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0113
Feria Titular de Villa Canales,Feria Patronal,2,14,17,"Feria titular y celebración anual del municipio de Villa Canales, departamento de Guatemala. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0116
Feria Titular de Petapa,Feria Patronal,7,7,10,"Feria titular y celebración anual del municipio de Petapa, departamento de Guatemala. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0117
Feria Titular de Morazán,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Morazán, departamento de El Progreso. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0202
Feria Patronal de San Agustín Acasaguastlán (En honor a San Agustín de Hipona),Feria Patronal,8,25,28,"Feria patronal del municipio de San Agustín Acasaguastlán, celebrada en honor a su santo patrono San Agustín de Hipona. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de El Progreso.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0203
Feria Patronal de San Cristóbal Acasaguastlán (En honor a San Cristóbal Mártir),Feria Patronal,7,27,30,"Feria patronal del municipio de San Cristóbal Acasaguastlán, celebrada en honor a su santo patrono San Cristóbal Mártir. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de El Progreso.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0204
Feria Titular de El Jícaro,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de El Jícaro, departamento de El Progreso. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0205
Feria Titular de Sanarate,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Sanarate, departamento de El Progreso. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0206
Feria Titular de Sansare,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Sansare, departamento de El Progreso. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0207
Feria Patronal de San Antonio La Paz (En honor a San Antonio de Padua),Feria Patronal,6,10,13,"Feria patronal del municipio de San Antonio La Paz, celebrada en honor a su santo patrono San Antonio de Padua. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de El Progreso.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0208
Feria Titular de Jocotenango,Feria Patronal,12,12,15,"Feria titular y celebración anual del municipio de Jocotenango, departamento de Sacatepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0302
Feria Titular de Pastores,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Pastores, departamento de Sacatepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0303
Feria Titular de Santo Domingo Xenacoj,Feria Patronal,10,22,25,"Feria titular y celebración anual del municipio de Santo Domingo Xenacoj, departamento de Sacatepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0305
Feria Patronal de Santiago Sacatepéquez (En honor a Santiago Apóstol),Feria Patronal,7,22,25,"Feria patronal del municipio de Santiago Sacatepéquez, celebrada en honor a su santo patrono Santiago Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sacatepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0306
Feria Patronal de San Bartolomé Milpas Altas (En honor a San Bartolomé Apóstol),Feria Patronal,8,21,24,"Feria patronal del municipio de San Bartolomé Milpas Altas, celebrada en honor a su santo patrono San Bartolomé Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sacatepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0307
Feria Patronal de San Lucas Sacatepéquez (En honor a San Lucas Evangelista),Feria Patronal,10,15,18,"Feria patronal del municipio de San Lucas Sacatepéquez, celebrada en honor a su santo patrono San Lucas Evangelista. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sacatepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0308
Feria Patronal de Santa Lucía Milpas Altas (En honor a Santa Lucía),Feria Patronal,12,10,13,"Feria patronal del municipio de Santa Lucía Milpas Altas, celebrada en honor a su santo patrono Santa Lucía. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sacatepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0309
Feria Titular de Magdalena Milpas Altas,Feria Patronal,11,23,26,"Feria titular y celebración anual del municipio de Magdalena Milpas Altas, departamento de Sacatepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0310
Feria Patronal de Santa María de Jesús (En honor a Virgen de la Asunción),Feria Patronal,8,12,15,"Feria patronal del municipio de Santa María de Jesús, celebrada en honor a su santo patrono Virgen de la Asunción. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sacatepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0311
Feria Titular de Ciudad Vieja,Feria Patronal,1,13,16,"Feria titular y celebración anual del municipio de Ciudad Vieja, departamento de Sacatepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0312
Feria Patronal de San Miguel Dueñas (En honor a San Miguel Arcángel),Feria Patronal,9,26,29,"Feria patronal del municipio de San Miguel Dueñas, celebrada en honor a su santo patrono San Miguel Arcángel. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sacatepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0313
Feria Titular de Alotenango,Feria Patronal,11,11,14,"Feria titular y celebración anual del municipio de Alotenango, departamento de Sacatepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0314
Feria Patronal de San Antonio Aguas Calientes (En honor a San Antonio de Padua),Feria Patronal,6,10,13,"Feria patronal del municipio de San Antonio Aguas Calientes, celebrada en honor a su santo patrono San Antonio de Padua. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sacatepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0315
Feria Patronal de Santa Catarina Barahona (En honor a Santa Catarina de Alejandría),Feria Patronal,11,22,25,"Feria patronal del municipio de Santa Catarina Barahona, celebrada en honor a su santo patrono Santa Catarina de Alejandría. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sacatepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0316
Feria Titular de Chimaltenango,Feria Patronal,2,14,17,"Feria titular y celebración anual del municipio de Chimaltenango, departamento de Chimaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0401
Feria Patronal de San José Poaquil (En honor a San José Patriarca),Feria Patronal,3,16,19,"Feria patronal del municipio de San José Poaquil, celebrada en honor a su santo patrono San José Patriarca. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Chimaltenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0402
Feria Patronal de San Martín Jilotepeque (En honor a San Martín de Tours),Feria Patronal,11,8,11,"Feria patronal del municipio de San Martín Jilotepeque, celebrada en honor a su santo patrono San Martín de Tours. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Chimaltenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0403
Feria Titular de Comalapa,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Comalapa, departamento de Chimaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0404
Feria Titular de Santa Apolonia,Feria Patronal,3,15,18,"Feria titular y celebración anual del municipio de Santa Apolonia, departamento de Chimaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0405
Feria Titular de Pochuta,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Pochuta, departamento de Chimaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0408
Feria Titular de Patzicía,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Patzicía, departamento de Chimaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0409
Feria Patronal de Santa Cruz Balanyá (En honor a La Santa Cruz),Feria Patronal,5,1,3,"Feria patronal del municipio de Santa Cruz Balanyá, celebrada en honor a su santo patrono La Santa Cruz. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Chimaltenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0410
Feria Titular de Acatenango,Feria Patronal,11,11,14,"Feria titular y celebración anual del municipio de Acatenango, departamento de Chimaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0411
Feria Titular de Yepocapa,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Yepocapa, departamento de Chimaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0412
Feria Patronal de San Andrés Itzapa (En honor a San Andrés Apóstol),Feria Patronal,11,27,30,"Feria patronal del municipio de San Andrés Itzapa, celebrada en honor a su santo patrono San Andrés Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Chimaltenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0413
Feria Titular de Parramos,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Parramos, departamento de Chimaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0414
Feria Titular de Zaragoza,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Zaragoza, departamento de Chimaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0415
