nombre,descripcion,historia_origen,es_patrimonio,departamento_pcode,municipio_pcode
Entomillado,"El tomillo es el ingrediente principal en esta receta, pues resalta la combinación de especias, carne y verduras. La preparación está reservada para cada 22 de enero, fiesta del santo San Vicente Mártir. | Ingredientes: 2    libras de posta de res, ½    taza de vinagre, 1    libra de tomate, 4    onzas de miltomate, 1    chile guaque, 1    chile pasa, 3    cebollas medianas, 3    hojas de laurel, 4    onzas de alcaparra, 4    onzas de aceitunas, 2    naranjas, ajo al gusto, 1    manojo de tomillo, sal y pimienta al gusto","El tomillo es el ingrediente principal en esta receta, pues resalta la combinación de especias, carne y verduras. La preparación está reservada para cada 22 de enero, fiesta del santo San Vicente Mártir.",false,,
Arroz en leche,"Se cree que el arroz fue llevado a España en el siglo X, durante la invasión árabe. En América, el arroz se produce desde el siglo XVII, y es uno de los principales alimentos del continente. Guatemala adoptó este postre durante la colonia. | Ingredientes: ½    libra de arroz blanco, 1    litro de leche, canela en raja, ½    litro de agua, una pizca de sal, azúcar al gusto, canela en polvo, para decorar","Se cree que el arroz fue llevado a España en el siglo X, durante la invasión árabe. En América, el arroz se produce desde el siglo XVII, y es uno de los principales alimentos del continente. Guatemala adoptó este postre durante la colonia.",false,GT03,GT0306
Batido,"Es una bebida caliente con cuerpo y aroma. En La Antigua Guatemala la consumen en actividades nocturnas de velaciones y procesiones. Solo se puede preparar durante la Cuaresma, única época en la que el morro (fruto de la sabiduría en el Popol Vuh), se puede conseguir en su estado verde. | Ingredientes: 1    rebanada de cáscara de piña, 1    marqueta de panela, (endulzar al gusto), 3    onzas de Rosa de Jamaica, 1    varita de cañafístula (10 cm), 5    jocotes deshidratados, 1    raja de canela, 5    onzas de pinol, 5    cordoncillos, ½    onza de pimienta gorda, 3    clavos de olor, 1    trozo pequeño de jengibre, ½    morro verde, 3    litros de agua, azúcar al gusto, una pizca de sal","Es una bebida caliente con cuerpo y aroma. En La Antigua Guatemala la consumen en actividades nocturnas de velaciones y procesiones. Solo se puede preparar durante la Cuaresma, única época en la que el morro (fruto de la sabiduría en el Popol Vuh), se puede conseguir en su estado verde.",false,GT03,
Café artesanal,"Este grano es cotizado en el mundo y frecuentemente participa en subastas clasificadas por la altura y el clima que le dan el sabor, cuerpo y acidez. En 2018, el Ministerio de Cultura y Deportes declaró los conocimientos tradicionales que forman parte del proceso de producción, como Patrimonio Cultural Intangible de la Nación. | Ingredientes: 1    libra de grano de café, con pulpa, agua, Alberto José Reyes, Guatemala","Este grano es cotizado en el mundo y frecuentemente participa en subastas clasificadas por la altura y el clima que le dan el sabor, cuerpo y acidez. En 2018, el Ministerio de Cultura y Deportes declaró los conocimientos tradicionales que forman parte del proceso de producción, como Patrimonio Cultural Intangible de la Nación.",false,GT01,GT0105
Chinchivir,"Es una bebida refrescante, cuyo ingrediente principal es el limón. Su sabor se obtiene de la mezcla de especias secretas con las que reposa el jugo de limón durante 3 días, hasta conseguir la esencia, algunas personas aseguran que tiene propiedades curativas contra resfriados, cuando se toma caliente y de noche. | Ingredientes: jugo de 15 limones, 1    marqueta de panela, 1    onza de pimienta gorda, 2    clavos de olor, 1    raja de canela, 1    onza de jengibre, 3    litros de agua, azúcar al gusto","Es una bebida refrescante, cuyo ingrediente principal es el limón. Su sabor se obtiene de la mezcla de especias secretas con las que reposa el jugo de limón durante 3 días, hasta conseguir la esencia, algunas personas aseguran que tiene propiedades curativas contra resfriados, cuando se toma caliente y de noche.",false,GT03,
Fresco de Jamaica con limón,"La rosa de Jamaica es una bebida natural y fácil de preparar, por ser refrescante fue inicialmente consumida por los garínagu, hoy conocidos como garífunas. En esta receta que fusiona el limón con la jamaica sobresalen los sabores ácidos y dulces. | Ingredientes: ½     libra de rosa, de Jamaica, 1     raja de canela, 3     limones, 2     litros de agua, Quiché","La rosa de Jamaica es una bebida natural y fácil de preparar, por ser refrescante fue inicialmente consumida por los garínagu, hoy conocidos como garífunas. En esta receta que fusiona el limón con la jamaica sobresalen los sabores ácidos y dulces.",false,GT14,
Horchata,"semilla de melón El melón es una fruta de origen asiático que tiene más de 4000 años de antigüedad. Su pulpa es diurética y rica en vitamina C, y sus semillas, además de fortalecer el sistema inmunológico, también son la base de una deliciosa bebida conocida como «horchata de melón». | Ingredientes: semillas del melón, 1    litro y medio de leche, canela en raja, azúcar al gusto","semilla de melón El melón es una fruta de origen asiático que tiene más de 4000 años de antigüedad. Su pulpa es diurética y rica en vitamina C, y sus semillas, además de fortalecer el sistema inmunológico, también son la base de una deliciosa bebida conocida como «horchata de melón».",false,GT18,GT1802
Cascos de naranja,"Con la llegada de los españoles se modificó la receta añadiendo la cocción en agua con azúcar para que fuera de agrado a sus paladares. Una técnica que conserva sus sabores y nutrientes por más tiempo, pero a su vez es una bomba de azúcar que, en pocas cantidades, es aceptable y deliciosa. | Ingredientes: 10   naranjas medianas, 2    libras de azúcar, 1    raja de canela","Con la llegada de los españoles se modificó la receta añadiendo la cocción en agua con azúcar para que fuera de agrado a sus paladares. Una técnica que conserva sus sabores y nutrientes por más tiempo, pero a su vez es una bomba de azúcar que, en pocas cantidades, es aceptable y deliciosa.",false,GT03,
Chupetes,"Antes a estos dulces se les llamaba cucuruchos, por la similitud con el capirote de los penitentes de Santo Domingo en la procesión del Santo Entierro. También conocidos como «pirulís», estos coloridos caramelos son llevados en tablas con agujeros sostenidas por un palo de madera que los vendedores pueden apoyar en el piso. | Ingredientes: 1½   taza de azúcar, 1    taza de agua, 1    limón, colorante natural al gusto, hojas de papel mantequilla, palitos de madera","Antes a estos dulces se les llamaba cucuruchos, por la similitud con el capirote de los penitentes de Santo Domingo en la procesión del Santo Entierro. También conocidos como «pirulís», estos coloridos caramelos son llevados en tablas con agujeros sostenidas por un palo de madera que los vendedores pueden apoyar en el piso.",false,GT01,GT0114
Coyoles en miel,"En los siglos pasados, las cocineras que preparaban este delicioso dulce únicamente utilizaban «una olla de cascahuín», una paleta de madera «maciza», para mover cuando fuera necesario, «una piedra y un mazo» que se utilizaban para quebrar los coyoles y poder eliminar la capa externa que los rodea, la cáscara. | Ingredientes: 25   coyoles grandes, 1    marqueta de panela, 1    raja de canela, 2    cocos (carnaza), 1    pizca de sal, 1    litro de agua","En los siglos pasados, las cocineras que preparaban este delicioso dulce únicamente utilizaban «una olla de cascahuín», una paleta de madera «maciza», para mover cuando fuera necesario, «una piedra y un mazo» que se utilizaban para quebrar los coyoles y poder eliminar la capa externa que los rodea, la cáscara.",false,GT03,GT0313
Espumillas,"Son un postre colorido, uno de los favoritos de los niños, se elabora con dos ingredientes: huevo y azúcar; y con tan sencilla preparación, llena de sabor la vida, los recuerdos, el paladar. | Ingredientes: 8    huevos, 1    libra y ¼ de azúcar, papel aluminio, colorante opcional","Son un postre colorido, uno de los favoritos de los niños, se elabora con dos ingredientes: huevo y azúcar; y con tan sencilla preparación, llena de sabor la vida, los recuerdos, el paladar.",false,GT01,
Tamal de arroz,"En el período clásico, los mayas, con motivo del solsticio de invierno, preparaban bollos de masa cocida para celebrar. Estos los cocinaban con masa de maíz y se les agregaba un recado. Los tamales de arroz son una invención que se hizo popular en el occidente de Guatemala. | Ingredientes: Procedimiento, Masa, Para la masa, 3      libras de arroz blanco, Remojar el arroz p, 2      barras de margarina, aparte echar 4 lit, sal al gusto., a fuego alto, cuan, Recado, Una vez derretido,, 2      chiles pimientos, el arroz licuado y, 1      chile mexicano, mover la mezcla si, 4      chile guaque, hervir, seguir mov, (nativo de Santiago Sacatepequez), minutos. Dejare en, 3      onzas de ajonjolí, 3      onzas de pepitoria, Para el recado, 1      raja de canela, Poner a cocer chil, 15     bolitas de pimienta negra, y la cebolla. Tost, 10     bolitas de pimienta de castilla, pimienta negra, pi, ¼      cucharadita de comino, Mezclar los ingred, 1      cebolla, remojar por 15 min, sal al gusto., a suavizarse, post, Relleno, Para el amarrado, 3      libras de pechuga de pollo, Lavar las hojas de, 2      libras de carne de res, del tallo., Empezar a envolver","En el período clásico, los mayas, con motivo del solsticio de invierno, preparaban bollos de masa cocida para celebrar. Estos los cocinaban con masa de maíz y se les agregaba un recado. Los tamales de arroz son una invención que se hizo popular en el occidente de Guatemala.",false,GT03,GT0306
Tamalitos de chipilín,"La planta utilizada para este platillo es considerada medicinal y con altos niveles de hierro, calcio y magnesio. El ingrediente principal es utilizado en la dieta de los guatemaltecos para prevenir enfermedades como la anemia. | Ingredientes: 3    libras de masa de maíz, 1    manojo de hojas de chipilín, 1    queso fresco, ½    taza de aceite vegetal, 8    onzas de manteca de cerdo, 2    paquete de hojas de mazorca (tusa), sal al gusto","La planta utilizada para este platillo es considerada medicinal y con altos niveles de hierro, calcio y magnesio. El ingrediente principal es utilizado en la dieta de los guatemaltecos para prevenir enfermedades como la anemia.",false,GT03,GT0313
Bacalao a la vizcaína,"El bacalao a la vizcaína es una comida representativa del Viernes Santo, dentro de la tradición de guardar penitencia y abstenerse de comer carnes rojas. Muchas familias acostumbran a comerlo durante los viernes de la Cuaresma, acompañado de curtido rojo y tamalitos blancos. | Ingredientes: 2       libras de bacalao, (puede sustituirse, por pescado seco), 1½      libras de tomate, 1       cebolla grande, 6       ajos, 1       pasta de tomate, (se puede preparar con, tomate cocido, cebolla,, ajo, pimienta, sal, orégano,, albahaca. Se licuan, los ingredientes y se ponen, al fuego durante 20, minutos hasta que espese)., 8       onzas de aceitunas, (de preferencia sin hueso), 4       onzas de alcaparras, (de preferencia encurtidas), ½       taza de aceite de oliva","El bacalao a la vizcaína es una comida representativa del Viernes Santo, dentro de la tradición de guardar penitencia y abstenerse de comer carnes rojas. Muchas familias acostumbran a comerlo durante los viernes de la Cuaresma, acompañado de curtido rojo y tamalitos blancos.",false,GT03,
Caldo de cordero,"La sierra de Los Cuchumatanes, que va de Huehuetenango a Quiché, es considerada como la tierra del cordero por ser la principal zona de crianza de ovinos. Este platillo, propio del altiplano guatemalteco, además de exquisito sabor, ofrece a los comensales una importante fuente de nutrientes. | Ingredientes: 3    libras de carne de cordero, 1½   libra de papas, 5    ramas de hierbabuena, 6    tomates, 1    cebolla mediana, 5    dientes de ajo, 3    litros de agua, sal al gusto, Huehuetenango","La sierra de Los Cuchumatanes, que va de Huehuetenango a Quiché, es considerada como la tierra del cordero por ser la principal zona de crianza de ovinos. Este platillo, propio del altiplano guatemalteco, además de exquisito sabor, ofrece a los comensales una importante fuente de nutrientes.",false,GT13,
Cerdo ahumado,"El cerdo ahumado es un platillo representativo de la comunidad Maya Mopán que habita en San Luis, Petén. Se prepara para agradecer por la cosecha en un rito dirigido por el jefe del hogar. Trabajadores y familiares se sientan a la mesa y en un incensario queman madera de pomté (árbol originario de Petén) la persona que guía camina alrededor de los asistentes y luego de esto se sientan a comer. | Ingredientes: 2    libras de costilla de cerdo, 1    onza de orégano, 1    manojo de cebollín, ½    manojo de hierbabuena, 1    onza de pimienta molida, 1    libra de tomate, 1    onza de chile en polvo, ½    manojo de samat, 2   libras de costillas de cerdo, 2    litros de agua, sal al gusto","El cerdo ahumado es un platillo representativo de la comunidad Maya Mopán que habita en San Luis, Petén. Se prepara para agradecer por la cosecha en un rito dirigido por el jefe del hogar. Trabajadores y familiares se sientan a la mesa y en un incensario queman madera de pomté (árbol originario de Petén) la persona que guía camina alrededor de los asistentes y luego de esto se sientan a comer.",false,GT17,GT1709
Chirmol con marrano,"Se trata de una deliciosa combinación de tomates, chiles, cebolla y especias que se asan para realzar su sabor. El origen del chirmol (del náhuatl chilmolli, que significa salsa de chile) se remonta a las culturas originarias, que utilizaban los ingredientes locales para crear salsas condimentadas. | Ingredientes: 2    libras de posta de marrano, ½    libra de tomate ciruelo, ½     libra de tomate de árbol, 1    cebolla, 12   chiles cobaneros, ½    libra de miltomate, 1    libra de papa, 1    manojo de hierba blanca","Se trata de una deliciosa combinación de tomates, chiles, cebolla y especias que se asan para realzar su sabor. El origen del chirmol (del náhuatl chilmolli, que significa salsa de chile) se remonta a las culturas originarias, que utilizaban los ingredientes locales para crear salsas condimentadas.",false,GT14,GT1406
Frijoles blancos con pescaditos (pepesca),"pescaditos (pepesca) La cocina de Cuaresma y Semana Santa presenta una acentuada mezcla prehispánica y colonial. Las múltiples preparaciones que se realizan para esta época se basan en pescado y son abundantes. En San José Poaquil, Chimaltenango, se suele preparar para estas fechas un platillo que combina los frijoles blancos con los pescaditos secos. | Ingredientes: 1    libra de frijol blanco, 1    libra de pescaditos secos, 1    libra de tomate, 1    cebolla pequeña, 2    onzas de masa de maíz, 1    cucharada de achiote, sal al gusto","pescaditos (pepesca) La cocina de Cuaresma y Semana Santa presenta una acentuada mezcla prehispánica y colonial. Las múltiples preparaciones que se realizan para esta época se basan en pescado y son abundantes. En San José Poaquil, Chimaltenango, se suele preparar para estas fechas un platillo que combina los frijoles blancos con los pescaditos secos.",false,GT04,GT0402
Frijoles con quequesque,"Quequescamote es otro nombre con el que se conoce el tubérculo «ox», una raíz que es parte de la dieta en las áreas rurales del norte de Guatemala. Es apreciada porque tanto su tubérculo como sus hojas son comestibles. Asimismo sus hojas pueden comerse como verduras. | Ingredientes: 1    quequesque mediano, 1    libra de frijol negro, 1    cebolla mediana, 5    ramas de cilantro, 6    hojas de samat, 5    chiles serrano, 3    cucharadas de manteca, de cerdo, sal al gusto, cantidad necesaria de agua","Quequescamote es otro nombre con el que se conoce el tubérculo «ox», una raíz que es parte de la dieta en las áreas rurales del norte de Guatemala. Es apreciada porque tanto su tubérculo como sus hojas son comestibles. Asimismo sus hojas pueden comerse como verduras.",false,GT16,GT1611
Frito,"Muy parecido al revolcado, este plato es una fusión culinaria entre las culturas indígena y española, que se remonta al siglo XVI y que se consolidó durante la Colonia. | Ingredientes: 2    libras de cabeza de cerdo, 10   tomates, 2    cebollas medianas, 4    chiles pimientos, 2    onzas de miltomate, 2    onzas pepitoria, 2    onzas ajonjolí, 2    onzas pepita de ayote, 2    chiles guaque, 2    chiles pasa","Muy parecido al revolcado, este plato es una fusión culinaria entre las culturas indígena y española, que se remonta al siglo XVI y que se consolidó durante la Colonia.",false,,
Gallo en Chicha,"La chicha es una bebida alcohólica sagrada de origen prehispánico. Se prepara a partir de la fermentación del maíz, y es muy consumida en Mesoamérica. Por su naturaleza resulta muy afín al fresco de súchiles. Se cree que su nombre proviene del náhuatl chichiatl que significa «agua fermentada». | Ingredientes: 1    gallo de 5 libras, ¼    de marqueta de panela, 1½   libras de tomate, 2    chiles pimientos grandes, 2    cebollas pequeñas, 2    chiles guaque grandes, 1    trozo de canela, 5    pimientas negras, 5    clavos de olor, 1    pizca de comino, 1    taza de chicha, sal al gusto","La chicha es una bebida alcohólica sagrada de origen prehispánico. Se prepara a partir de la fermentación del maíz, y es muy consumida en Mesoamérica. Por su naturaleza resulta muy afín al fresco de súchiles. Se cree que su nombre proviene del náhuatl chichiatl que significa «agua fermentada».",false,GT22,GT2212
Mole de pollo,"El mole, del náhuatl molli o mulli que significa «molido», es un platillo prehispánico originalmente preparado con fines ceremoniales. Tras la llegada de los españoles a Mesoamérica, se introdujo a su receta especias como la canela y el ajonjolí. A la largo de la región se han creado una serie de variantes y combinaciones. | Ingredientes: 3     libras de pollo, 4     tomates, 4     cebollas, 1     cabeza de ajo, 1     chile pimiento, 4     chiles anchos, 1     marqueta, de chocolate, 1     onza de ajonjolí, 4     rosquitas (pan dulce), sal al gusto, San Marcos","El mole, del náhuatl molli o mulli que significa «molido», es un platillo prehispánico originalmente preparado con fines ceremoniales. Tras la llegada de los españoles a Mesoamérica, se introdujo a su receta especias como la canela y el ajonjolí. A la largo de la región se han creado una serie de variantes y combinaciones.",false,,
Muxque,"El muxque es un platillo propio de la gastronomía Xinca, elaborada con carne de cerdo. Su nombre proviene del término mushta que en el idioma xinca significa «panza». Fue declarado Patrimonio Cultural e Intangible en el municipio de Chiquimulilla, Santa Rosa. En ese lugar se celebra el festival del Muxque cada 12 de septiembre. | Ingredientes: 1    libra carne de cabeza, de cerdo, ½    libra de panza de cerdo, ½    libra de cuero, de cerdo (panceta), 3    chiles jalapeño, 1    libra de tomate, 2    cebollas medianas, 10   ramas de hierbabuena, 1    taza de manteca de cerdo, sal al gusto","El muxque es un platillo propio de la gastronomía Xinca, elaborada con carne de cerdo. Su nombre proviene del término mushta que en el idioma xinca significa «panza». Fue declarado Patrimonio Cultural e Intangible en el municipio de Chiquimulilla, Santa Rosa. En ese lugar se celebra el festival del Muxque cada 12 de septiembre.",false,GT06,GT0608
Ollada marquense,"Platillo que enaltece al Día de la identidad Shecana. Se celebra en el municipio de San Pedro Sacatepéquez, San Marcos, cada 29 de junio, para festejar el trabajo de la mujer sampedrana. En esa fecha, los participantes de la festividad asisten vestidos con el traje regional a la plaza de la localidad. | Ingredientes: ½    libra de posta de res, ½    libra de mano de res, ½    libra de jeta de res, 1    libra de pollo, 1    libra de panza de res, 3    elotes, 2    zanahorias medianas, ½    libra de ejotes, 1    taza de arveja, 1    libra de papa, 3    tomates, ½    repollo, 1    taza de arroz, 1    taza de habas, 5    ramas de cilantro, 1    rama de perejil, 1    chile pimiento mediano","Platillo que enaltece al Día de la identidad Shecana. Se celebra en el municipio de San Pedro Sacatepéquez, San Marcos, cada 29 de junio, para festejar el trabajo de la mujer sampedrana. En esa fecha, los participantes de la festividad asisten vestidos con el traje regional a la plaza de la localidad.",false,,
Pollo en iwaxte,"Un plato ancestral de origen kaqchikel. También llamado iguashte, este recado se prepara con la pepita de ayote dorada y molida, comúnmente conocida como pepitoria. La versatilidad de este ingrediente ha inspirado a chefs internacionales para preparar diversos platillos de alta cocina. | Ingredientes: 3     libras de pollo, ½     libra de pepita, ½     libra de ejote, 1     güisquil mediano, 1     cebolla mediana, ½     libra de tomate, 6     miltomates, 3     dientes de ajo, 1     chile pasa, 4     onzas de ajonjolí","Un plato ancestral de origen kaqchikel. También llamado iguashte, este recado se prepara con la pepita de ayote dorada y molida, comúnmente conocida como pepitoria. La versatilidad de este ingrediente ha inspirado a chefs internacionales para preparar diversos platillos de alta cocina.",false,GT06,GT0601
Sopa de arroz con chipilín,"con chipilín Tres comidas de las hierbas más arraigadas en la dieta de los guatemaltecos son el chipilín, el bledo y los quiletes. Al chipilín se le atribuyen propiedades medicinales y sedantes. El término proviene del k’iche’ much’ que significa «lo que da sueño». | Ingredientes: 1    taza de chipilín, ½    taza de arroz, 1    tomate grande, 1    cebolla pequeña, 1    diente de ajo, sal al gusto, Berta Gloria Aquino Rac, Guatemala","con chipilín Tres comidas de las hierbas más arraigadas en la dieta de los guatemaltecos son el chipilín, el bledo y los quiletes. Al chipilín se le atribuyen propiedades medicinales y sedantes. El término proviene del k’iche’ much’ que significa «lo que da sueño».",false,GT01,
Sopa de quilete,"A esta hierba se le conoce como hierbamora, quilete o majk’u’y. Los caldos y sopas de hierbas son muy apreciados en la población indígena desde tiempos prehispánicos, especialmente en el altiplano central del país. A esta sopa se le atribuye propiedades medicinales por su alto contenido nutrientes y vitaminas. | Ingredientes: 1    manojo de quiletes, 2    tomates, 1    cebolla pequeña, 1    diete de ajo, 1    litro de agua, sal al gusto, María de la Cruz, Zuleta Hernández, Sacatepéquez","A esta hierba se le conoce como hierbamora, quilete o majk’u’y. Los caldos y sopas de hierbas son muy apreciados en la población indígena desde tiempos prehispánicos, especialmente en el altiplano central del país. A esta sopa se le atribuye propiedades medicinales por su alto contenido nutrientes y vitaminas.",false,GT03,
Tikini,"El tikini es caldo de pescado, camarones y especias que se espesa con harina dorada. Se trata de un platillo representativo de la cultura garífuna, que a su vez fue influenciado por la cocina africana. Su preparación es sencilla, pero llena de sabores explosivos debido a la mezcla de ingredientes tropicales. | Ingredientes: 2    libras de pescado, 1    libra de camarón, 3    hojas de albahaca, 5    ramas de cilantro, 1    taza de harina, 3    tomates, 1    cebolla mediana, 1    chile dulce, María Celeste, Hernández Díaz, Izabal","El tikini es caldo de pescado, camarones y especias que se espesa con harina dorada. Se trata de un platillo representativo de la cultura garífuna, que a su vez fue influenciado por la cocina africana. Su preparación es sencilla, pero llena de sabores explosivos debido a la mezcla de ingredientes tropicales.",false,GT18,
